thing_id,stationID,stationName,city,township,areaType,areaDescription,isOutdoor,isMobile,projectName,latitude,longitude,coordinate_crs,pm25_datastream_id,latest_pm25_value,latest_observation_phenomenon_time,freshness_status,observation_age_minutes,valid_coordinate,valid_pm25,future_timestamp,bbox_status
3304,650000000044,智慧城鄉空品微型感測器-650000000044,新北市,新莊區,,,,,,25.049133,121.44744,EPSG:4326,9910,5.65,2026-09-02T10:58:30Z,fresh,4.18,True,True,False,inside_bbox
3305,650000000045,智慧城鄉空品微型感測器-650000000045,新北市,新莊區,,,,,,25.065273,121.46092,EPSG:4326,9913,5.84,2026-09-02T10:58:23Z,fresh,4.3,True,True,False,inside_bbox
3306,650000000046,智慧城鄉空品微型感測器-650000000046,新北市,新莊區,,,,,,25.023346,121.422455,EPSG:4326,9916,6.05,2026-09-02T10:57:45Z,fresh,4.93,True,True,False,inside_bbox
3307,650000000047,智慧城鄉空品微型感測器-650000000047,新北市,蘆洲區,,,,,,25.085716,121.465004,EPSG:4326,9919,5.82,2026-09-02T10:57:50Z,fresh,4.85,True,True,False,inside_bbox
3308,650000000048,智慧城鄉空品微型感測器-650000000048,新北市,蘆洲區,,,,,,25.079777,121.465744,EPSG:4326,9922,6.13,2026-09-02T10:58:13Z,fresh,4.46,True,True,False,inside_bbox
3309,650000000049,智慧城鄉空品微型感測器-650000000049,新北市,蘆洲區,,,,,,25.079687,121.472115,EPSG:4326,9925,6.66,2026-09-02T10:56:09Z,fresh,6.53,True,True,False,inside_bbox
3310,650000000050,智慧城鄉空品微型感測器-650000000050,新北市,蘆洲區,,,,,,25.089602,121.472435,EPSG:4326,9928,,,missing_observation,,True,False,False,inside_bbox
3313,100080000004,智慧城鄉空品微型感測器-100080000004,南投縣,水里鄉,一般社區,集集分局水里分駐所,,,,25.006107,121.48321,EPSG:4326,9937,,,missing_observation,,True,False,False,inside_bbox
3315,100080000006,智慧城鄉空品微型感測器-100080000006,南投縣,魚池鄉,一般社區,魚池鄉公所,,,,25.00609,121.48337,EPSG:4326,9943,,,missing_observation,,True,False,False,inside_bbox
3319,100080000011,智慧城鄉空品微型感測器-100080000011,南投縣,鹿谷鄉,一般社區,鹿谷國小,,,,25.00619,121.48366,EPSG:4326,9955,,,missing_observation,,True,False,False,inside_bbox
3324,100080000021,智慧城鄉空品微型感測器-100080000021,南投縣,國姓鄉,一般社區,國姓鄉公所,,,,25.006607,121.4837,EPSG:4326,9970,,,missing_observation,,True,False,False,inside_bbox
3366,10908216751,智慧城鄉空品微型感測器-10908216751,南投縣,草屯鎮,鄰近工業區社區,烏溪鳥嘴潭人工湖工程計畫營建工程,,,,25.006823,121.48401,EPSG:4326,10096,0.12,2026-09-02T10:57:30Z,fresh,5.18,True,True,False,inside_bbox
